evento;tipo;ano;n_art;n_ocur;total;n_qualis
SBAC;EST;2002;21;32;25;B2
SBAC;EXT;2002;13;16;25;B2
SBAC;MET;2002;25;63;25;B2
SBAC;EST;2003;25;38;30;B2
SBAC;EXT;2003;13;15;30;B2
SBAC;MET;2003;24;60;30;B2
SBAC;EST;2004;26;45;32;B2
SBAC;EXT;2004;14;22;32;B2
SBAC;MET;2004;27;67;32;B2
SBAC;TST;2004;1;1;32;B2
SBAC;EST;2005;21;28;31;B2
SBAC;EXT;2005;19;25;31;B2
SBAC;MET;2005;25;59;31;B2
SBAC;EST;2006;20;26;22;B2
SBAC;EXT;2006;13;20;22;B2
SBAC;MET;2006;21;49;22;B2
SBAC;EST;2007;28;44;32;B2
SBAC;EXT;2007;18;26;32;B2
SBAC;MET;2007;29;82;32;B2
SBAC;EST;2008;20;32;22;B2
SBAC;EXT;2008;16;25;22;B2
SBAC;MET;2008;22;59;22;B2
SBAC;EST;2009;16;24;21;B2
SBAC;EXT;2009;9;13;21;B2
SBAC;MET;2009;18;48;21;B2
SBAC;EST;2010;29;49;30;B2
SBAC;EXT;2010;17;24;30;B2
SBAC;MET;2010;27;71;30;B2
SBAC;TST;2010;1;2;30;B2
SBAC;EST;2011;23;36;26;B2
SBAC;EXT;2011;18;23;26;B2
SBAC;MET;2011;25;65;26;B2
SBAC;TST;2011;1;1;26;B2
SBAC;EST;2012;34;49;36;B2
SBAC;EXT;2012;31;43;36;B2
SBAC;MET;2012;35;94;36;B2
SBAC;EST;2013;26;36;28;B2
SBAC;EXT;2013;16;22;28;B2
SBAC;MET;2013;26;67;28;B2
SBAC;TST;2013;1;1;28;B2
SBAC;EST;2014;39;65;43;B2
SBAC;EXT;2014;38;58;43;B2
SBAC;MET;2014;42;109;43;B2
SBAC;TST;2014;1;1;43;B2
SBAC;EST;2015;22;36;26;B2
SBAC;EXT;2015;21;33;26;B2
SBAC;MET;2015;24;63;26;B2
SBAC;TST;2015;1;1;26;B2
SBAC;EST;2016;27;52;27;B2
SBAC;EXT;2016;21;30;27;B2
SBAC;MET;2016;27;77;27;B2
SBAC;TST;2016;2;3;27;B2
SBAC;EST;2017;21;35;23;B2
SBAC;EXT;2017;16;24;23;B2
SBAC;MET;2017;22;50;23;B2
SBAC;TST;2017;1;1;23;B2
SBAC;EST;2018;61;114;63;B2
SBAC;EXT;2018;44;62;63;B2
SBAC;MET;2018;61;176;63;B2
SBAC;TST;2018;1;1;63;B2
WSCAD;EST;2000;5;7;9;B3
WSCAD;MET;2000;7;17;9;B3
WSCAD;EST;2001;20;34;23;B3
WSCAD;MET;2001;16;29;23;B3
WSCAD;TST;2001;1;1;23;B3
WSCAD;EST;2002;22;35;27;B3
WSCAD;MET;2002;19;31;27;B3
WSCAD;EST;2003;28;40;32;B3
WSCAD;MET;2003;23;38;32;B3
WSCAD;EST;2004;30;53;33;B3
WSCAD;MET;2004;21;38;33;B3
WSCAD;EST;2005;31;58;34;B3
WSCAD;MET;2005;26;36;34;B3
WSCAD;EST;2006;24;38;28;B3
WSCAD;MET;2006;12;15;28;B3
WSCAD;EST;2007;17;28;21;B3
WSCAD;MET;2007;12;17;21;B3
WSCAD;TST;2007;2;4;21;B3
WSCAD;EST;2008;24;41;28;B3
WSCAD;MET;2008;17;33;28;B3
WSCAD;TST;2008;1;1;28;B3
WSCAD;EST;2009;14;18;23;B3
WSCAD;MET;2009;16;23;23;B3
WSCAD;TST;2009;1;1;23;B3
WSCAD;EST;2010;12;19;20;B3
WSCAD;MET;2010;16;21;20;B3
WSCAD;EST;2011;5;8;6;B3
WSCAD;MET;2011;5;8;6;B3
WSCAD;EST;2012;22;33;28;B3
WSCAD;MET;2012;17;24;28;B3
WSCAD;TST;2012;2;2;28;B3
WSCAD;EST;2013;17;31;20;B3
WSCAD;MET;2013;16;31;20;B3
WSCAD;EST;2014;29;33;39;B3
WSCAD;MET;2014;23;32;39;B3
WSCAD;EST;2015;12;16;15;B3
WSCAD;MET;2015;11;17;15;B3
WSCAD;TST;2015;1;1;15;B3
WSCAD;EST;2016;16;23;21;B3
WSCAD;MET;2016;17;28;21;B3
WSCAD;TST;2016;1;1;21;B3
WSCAD;EST;2017;9;13;19;B3
WSCAD;MET;2017;15;22;19;B3
